model,mean_reward,std_reward,min_reward,max_reward
ppo_teacher_v2.zip,144.7548149895625,113.39218915911404,-94.74692894574468,256.0399498036669
ppo_student_v3_256_256.zip,61.571615863425784,128.72722784645205,-125.99035809636669,256.36882107584574
ppo_student_v3_128_128.zip,131.67836135313243,111.46801072567118,-141.06345991123936,249.41296153553336
ppo_student_v3_64_64.zip,-146.01479340706803,63.78880541589398,-229.23003293778922,84.47829312484907
ppo_student_v3_64_32.zip,-103.78283090099741,81.02387912971287,-243.4061726299485,178.43155005557955
ppo_student_v3_64_16.zip,137.4487808683665,112.79695648514482,-89.78963006640042,244.7041329114649
ppo_student_v3_64_8.zip,146.94033831568396,95.38330660214848,-105.06634033967326,256.6643375437757
ppo_student_v3_64_4.zip,153.7301156918033,127.1041864766172,-76.82959109303326,288.96298523279154
ppo_student_v3_64_2.zip,93.40489553926174,142.28996206959437,-167.7007461682175,265.33135751405155
ppo_student_v3_64_1.zip,-633.8092465278887,84.84185511183286,-742.558875617798,-403.8108725667461
